Crop,Mandi,Price,Date
Wheat,Lasalgaon(Niphad),2300,06-06-2023
Tomato,Patan,1250,06-06-2023
Wheat,Lasalgaon(Vinchur),2200,06-06-2023
Onion,Pathardi,600,06-06-2023
Onion,Pratap Nana Mahale Khajgi Bajar Samiti,461.93,06-06-2023
Onion,Phaltan,700,06-06-2023
Wheat,Shrirampur,2300,06-06-2023
Onion,Pimpalgaon,1051,06-06-2023
Potato,Vashi New Mumbai,1150,06-06-2023
Wheat,Malegaon,2341,06-06-2023
Tomato,Kolhapur,1200,06-06-2023
Wheat,Nandgaon,2165,06-06-2023
Onion,Pimpalgaon Baswant(Saykheda),750,06-06-2023
Onion,Vashi New Mumbai,1000,06-06-2023
Onion,Manchar,1050,06-06-2023
Onion,Rahuri,700,06-06-2023
Tomato,Khed(Chakan),1300,06-06-2023
Onion,Sangamner,725,06-06-2023
Wheat,Sangli,3200,06-06-2023
Wheat,Yawal,2650,06-06-2023
Onion,Satana,725,06-06-2023
Tomato,Pune(Pimpri),1000,06-06-2023
Wheat,Solapur,2645,06-06-2023
Tomato,Vai,1450,06-06-2023
Potato,Rahata,1550,06-06-2023
Tomato,Panvel,1600,06-06-2023
Tomato,Pimpalgaon,600,06-06-2023
Tomato,Phaltan,1271,06-06-2023
Wheat,Nanded,2400,06-06-2023
Tomato,Pune(Khadiki),1250,06-06-2023
Potato,Pune(Manjri),1600,06-06-2023
Tomato,Sangamner,1062,06-06-2023
Wheat,Chandur Bazar,2470,06-06-2023
Wheat,Pune,4500,06-06-2023
Onion,Lasalgaon,900,06-06-2023
Wheat,Parola,2419,06-06-2023
Onion,Amrawati(Frui & Veg. Market),850,06-06-2023
Wheat,Amarawati,2525,06-06-2023
Onion,Junnar(Alephata),1100,06-06-2023
Wheat,Akola,2300,06-06-2023
Onion,Lasalgaon(Niphad),825,06-06-2023
Wheat,Barshi,2300,06-06-2023
Tomato,Mumbai,1300,06-06-2023
Tomato,Satara,1100,06-06-2023
Tomato,Islampur,1250,06-06-2023
Wheat,Hingoli,2560,06-06-2023
Wheat,Hinganghat,2180,06-06-2023
Tomato,Karad,1500,06-06-2023
Wheat,Karjat(Raigad),2300,06-06-2023
Wheat,Rahuri,2125,06-06-2023
Wheat,Shevgaon,2050,06-06-2023
Wheat,Rahuri(Vambori),2125,06-06-2023
Onion,Satara,1000,06-06-2023
Wheat,Dondaicha,2482,06-06-2023
Wheat,Jamkhed,2200,06-06-2023
Wheat,Jamkhed,2300,06-06-2023
Wheat,Barshi(Vairag),2500,06-06-2023
Onion,Pune,1000,06-06-2023
Wheat,Parbhani,2700,06-06-2023
Onion,Kalvan,800,06-06-2023
Wheat,Karmala,2100,06-06-2023
Wheat,Majalgaon,2500,06-06-2023
Onion,Shrirampur,650,06-06-2023
Onion,Wardha,750,06-06-2023
Wheat,Rahata,2325,06-06-2023
Wheat,Nagpur,2327,06-06-2023
Wheat,Gangakhed,2300,06-06-2023
Onion,Pandharpur,850,06-06-2023
Tomato,Amrawati(Frui & Veg. Market),2250,06-06-2023
Onion,Solapur,850,06-06-2023
Onion,Jamkhed,650,06-06-2023
Wheat,Ulhasnagar,3500,06-06-2023
Wheat,Raver,2205,06-06-2023
Wheat,Satana,2300,06-06-2023
Onion,Pune(Khadiki),700,06-06-2023
Wheat,Shirpur,2340,06-06-2023
Onion,Manmad,810,06-06-2023
Wheat,Nagpur,2950,06-06-2023
Wheat,Dudhani,3000,06-06-2023
Wheat,Chopada,2257,06-06-2023
Potato,Khed(Chakan),1500,06-06-2023
Wheat,Dhamngaon-Railway,2250,06-06-2023
Wheat,Shevgaon(Bodhegaon),2200,06-06-2023
Wheat,Shahada,2401,06-06-2023
Wheat,Kille Dharur,3200,06-06-2023
Onion,Bhusaval,500,06-06-2023
Wheat,Tasgaon,2630,06-06-2023
Wheat,Savner,2300,06-06-2023
Onion,Pune(Manjri),700,06-06-2023
Onion,Pune(Moshi),600,06-06-2023
Wheat,Lasalgaon,2340,06-06-2023
Wheat,Wardha,2300,06-06-2023
Onion,Dindori(Vani),850,06-06-2023
Wheat,Nandurbar,2325,06-06-2023
Potato,Bhusaval,2000,06-06-2023
Wheat,Palghar,3325,06-06-2023
Tomato,Junnar(Narayangaon),1000,06-06-2023
Onion,Ramtek,1200,06-06-2023
Tomato,Jalgaon,1000,06-06-2023
Tomato,Ghoti,950,06-06-2023
Potato,Satara,1450,06-06-2023
Onion,Rahata,950,06-06-2023
Wheat,Bhokar,2125,06-06-2023
Wheat,Gevrai,2350,06-06-2023
Potato,Nasik,1150,06-06-2023
Wheat,Mumbai,3800,06-06-2023
Potato,Kamthi,1600,06-06-2023
Onion,Nasik,700,06-06-2023
Tomato,Bhusaval,500,06-06-2023
Onion,Karad,1200,06-06-2023
Wheat,Katol,2250,06-06-2023
Potato,Ramtek,1500,06-06-2023
Tomato,Solapur,1000,06-06-2023
Onion,Devala,800,06-06-2023
Potato,Pune,1550,06-06-2023
Potato,Akola,1200,06-06-2023
Wheat,Amarawati,2300,06-06-2023
Wheat,Ahmednagar,2325,06-06-2023
Tomato,Nagpur,3150,06-06-2023
Onion,Kolhapur,1000,06-06-2023
Onion,Pune(Pimpri),900,06-06-2023
Wheat,Ashti(Karanja),2255,06-06-2023
Tomato,Pen,2200,06-06-2023
Potato,Pen,1600,06-06-2023
